filename,row,column,vessel_x,vessel_y,vessel_r,plane_start,plane_stop,exclude,rbase,control,plane_selected
slice_01,2936,2840,0,0,0,5,8,0,40,2,0
slice_02,2980,2864,1310,2605,25,7,10,0,40,3,8
slice_03,2960,2816,0,0,0,5,8,0,40,1,0
slice_04,3000,2888,1735,3185,70,12,15,0,40,2,12
slice_05,3010,2890,1695,3110,60,5,15,0,35,4,8
slice_06,2990,2835,1655,3085,55,5,16,0,35,2,0
slice_07,2985,2765,1675,3075,55,7,17,0,35,4,0
slice_08,2995,2860,1700,3125,55,7,15,0,30,2,0
slice_09,2825,2800,1580,3000,60,7,16,0,30,3,0
slice_10,2940,2850,2195,2315,100,6,17,0,20,2,0
slice_11,2950,2945,4465,2675,90,5,17,0,20,3,0
slice_12,2975,2850,1925,2430,80,5,16,0,20,3,0
slice_13,2985,2840,4340,2420,80,6,17,0,20,4,0
