mrid,index,accuracy_um
penta,0,65.95046961804155
penta,1,32.700448198374716
penta,2,47.54324906916986
penta,3,-145.60194513428587
penta,0,19.360166584360627
penta,1,63.73907513099573
penta,2,48.558866461134585
penta,3,-87.65276723495708
quad,0,58.58525396494201
quad,1,-38.49246472144773
quad,2,5.724335767111711
quad,0,-101.70791374774626
quad,1,133.0167558944861
quad,2,213.94428254167758
quad,0,5.2948395421685746
quad,1,51.74626716222929
quad,2,-19.736783898878457
quad,0,-32.466815115395775
quad,1,-14.149344089241367
quad,2,-176.15923663681485
quad,0,29.887429100219606
quad,1,-23.583064537708424
quad,2,-275.1069711822223
trio,0,-12.64359155189095
trio,1,-60.14321884792162
trio,0,-15.756030592320712
trio,1,-34.365250001598724
trio,0,34.06722104305777
trio,1,37.31807562295717
trio,0,34.68472158949521
trio,1,147.59604109478573
trio,0,175.08723909087166
trio,1,142.5392353892562
duo,0,424.2911555788462
duo,0,-46.336872090486395
duo,0,59.28489760386651
duo,0,-212.48336688254358
duo,0,-190.44340315943668
